,Song,Artist,artist_trunc,search_term,lyrics_raw
591,Spies Like Us,Paul McCartney,Paul McCartney,Spies Like Us Paul McCartney,"[Pre-Chorus]
Ooh ooh what do you do
No one else can dance like you
So what's all the fuss
There ain't nobody that spies like us

[Chorus]
Hey hey what do you say
Someone took your plans away
So what's all the fuss
There ain't nobody that spies like us

[Verse 1]
Hey don't feel afraid
Of an undercover aid
There's no need to fuss
There ain't nobody that spies like us
Spies like us
We don't know the meaning of fear
We play every minute by ear
One for all and all for one
Everybody's on the run
Especially at this time of year

[Pre-Chorus]

[Chorus]

[Verse 2]
We get there by hook or by crook
We don't do a thing by the book
Never needed special clothes
How we did it no one knows
I guess we must have had what it took

[Bridge]
Ooh ooh, ooh
Oh when things get tough
(oh when things get tough)
Guys like us act rough
(guys like us act rough)

[Chorus]"
592,Object of My Desire,Starpoint,Starpoint,Object of My Desire Starpoint,"Ooh...
Whoa, whoa, whoa...yeah

You glanced my way, I lost all control
Anxiety had taken hold
My body quivered, hot flashes ignited in me, ooh, ooh, ooh...
Gazing deep into my eyes
You spoke these words, I was hypnotized
Let me share a night in your fantasy, ooh, ooh

Turn on emotions so strong
Passion's fire burns on and on
My body screams
""Please make love to me""

You're the object of my desire
Baby, ignite my fire
Object of my desire
Hey, you really turn me on

You're the object (Sugar) of my desire (Yeah)
Oh, baby, ignite my fire
Object of my desire
Hey, you really turn me on

When I go to sleep at night
Visions of you here by my side
Fireworks explode deep inside of me, ay-yi-yi-yi
I pinch myself as you're lyin' there
We kiss each other, now I'm really scared
Too much to ask even for a fantasy, oh, oh, oh

Turn on emotions so strong
Passion's fire burns on and on
My body screams
""Please make love to me""

'Cause you're the object of my desire (Yeah, yeah)
Baby, ignite my fire
Object of my desire
Hey, you really turn me on

You're the object of my desire
Won't you ignite my fire
Object of my desire
Hey, you really turn me on and on and on and on

You're the object (I've got to have your love)
(I need your love)
Object (Wanna be the one, baby)
Hey, you really turn me on

You're the object (Love so fine)
Baby (I wanna know), would you be mine
Object
Hey, you really turn me on and on and on and on

Object
Object
Hey, you really turn me on"
593,Dreamtime,Daryl Hall,Daryl Hall,Dreamtime Daryl Hall,"I saw you standing and I felt your rage
Like a dark cloud on a crowded stage
You were talking through the smoke in your fantasy
I know you girl, I know what to believe

Maybe things ain't been so good at home
And the people that you love never cared at all
You want to run away, don't care where you go
You want to run away, run away, that's all you know

Believe it's alright to fantasize
And say the words you think will satisfy me
But you know better than that
'Cause you know what's a lie

You're living in dreamtime, baby (you want to run away)
It's time to wake up, ooh
You're living on dreamtime, baby (you want to run away)
It's time to shape up

In your dream, it's overcast
Rain comes down, moving your way fast
You want to run away, don't care where you go
You want to run away, run away, that's all you know

You turn a corner and you see a door
Walk on through, throw yourself on the floor
Oh, when you're looking up, it's no surprise
Standing there is a man with movie star eyes

You think he's gonna take care of you
The man with the plan that'll see you through
And I say there ain't no way
'Cause I know he's a lie

You're living in dreamtime, baby (you want to run away)
It's time to wake up, ooh
You're living on dreamtime, baby (you want to run away)
It's time to shape up, shape up
You're living on dreamtime (you want to run away)
Whoa-whoa
You're living on dreamtime, baby (you want to run away)
Want to run away, want to run away

I know
I say

You're living in dreamtime, baby (you want to run away)
Shape up
You're living on dreamtime, baby (you want to run away)
It's time to wake up

I never saw anybody fall apart so fast
You're living in dreamtime you know it ain't gonna last
Never saw anybody think she's so right and be so wrong
Living in dreamtime, it's hard to carry on, girl"
594,Tender Love,Force MDs,Force MDs,Tender Love Force MDs,"[Verse 1]
Here I lay all alone
Tossin', turning
Longing for some of your tender love
I'm waiting for the right moment to come
So I can thank you for
All the tender love you've given to me

[Chorus]
Tender love, love so tender
Pulling me close to you
Baby, I surrender

[Verse 2]
Candles they light the dark
Now I see how lovely the feelings are
All the tender love you've given to me

[Verse 3]
I want you more and more, can't resist you
Ooh then I feel your touch, tender love
Loving me straight from the heart, hold me nearer
Please let me be a part of the tender love you're giving to me

[Chorus]
Tender love, love so tender
Holding me close to you
Baby, I surrender

Ooh yeah, surrender baby

[Non-lyrical Chorus]

[Outro]
Tender love
Please let me be a part
Tender love"
595,King for a Day,Thompson Twins,Thompson Twins,King for a Day Thompson Twins,"I know you well
And I can tell
Something's on your mind

'Cause in your dreams
The demon screams
I know he's going to hurt you blind

You say you hunger
For something you can't get at all
And love is not enough anymore

If I was King for just one day
I would give it all away
I would give it all away to be with you

If I was King for just one day
I have just one thing to say
You know that love is all
We need to get us through

And diamond rings
And all those things
They never sparkle
Like your smile

And as for fame
It's just a name
That only satisfies
You for awhile

You say you hunger
For something you can't get at all
And love is not enough anymore

If I was King for just one day
I would give it all away
I would give it all away to be with you

If I was King for just one day
I have just one thing to say
You know that love is all
We need to get us through

I've heard it said
Or maybe read
Only money makes
The world go round

But all the gold
Won't heal your soul
If your world should
Tumble to the ground

You say you hunger
For something you can't get at all
And love is not enough anymore

So listen
Love is all
Love is all
Love is all we need

Love is all
Love is all
Love is all we need, yeah

Love is all
Love is all
Love is all we need, yeah

Love is all
Love is all
Love is all we need, yeah

If I was King for just one day
I would give it all away
I would give it all away to be with you

If I was King for just one day
I have just one thing to say
You know that love is
All we need to get us through

If I was King for just one day
I would give it all away
I would give it all away to be with you

If I was King for just one day
Just one thing to say
Love"
596,Love Will Conquer All,Lionel Richie,Lionel Richie,Love Will Conquer All Lionel Richie,"[Chorus 1]
Here we are
Out here, me and you
Reaching out to each other
Is all that we can do

[Chorus 2]
Here we stand trying not to fall
There's no need to worry
Love will conquer all

[Verse 1]
Do you really want to know
Just how long will last
Will all of the bad times pass?
How can we make things right?
Ooh and why, why is the world so unkind?
We surely can find peace of mind
If we only see the light
Can't you see that?

[Chorus 2]

[Verse 2]
Can somebody tell me why?
Why do our dreams go wrong?
Why can't we all belong?
Oh where did we start?
Oh and tell me when
When will we ever learn
There's nowhere else we can turn
The truth is in our hearts
Here we are together

[Bridge]
Sometimes the road gets hard to travel
Sometimes the pains too much to bear
Sometimes when life seems to unravel
That's the time oh to say
We're going to make it anyway
Can't you see that?

[Chorus 1]

[Chorus 2]"
597,A Different Corner,George Michael,George Michael,A Different Corner George Michael,"[Verse 1]
I'd say love was a magical flame
I'd say love would keep us from pain
Had I been there, had I been there
I would promise you all of my life
But to lose you would cut like a knife
So I don't dare, no I don't dare
Cause I've never come close in all of these years
You are the only one to stop my tears
And I'm so scared, I'm so scared

[Verse 2]
Take me back in time maybe I can forget
Turn a different corner and we never would have met
Would you care
I don't understand it, for you it's a breeze
Little by little you've brought me to my knees
Don't you care
No I've never come close in all of these years
You are the only one to stop my tears
I'm so scared of this love
And if all that there is, is this fear of being used
I should go back to being lonely and confused
If I could, I would, I swear"
598,I'll Be Over You,Toto,Toto,I'll Be Over You Toto,"[Verse 1]
Some people live their dreams
Some people close their eyes
Some people's destiny
Passes by

There are no guarantees
There are no alibis
That's how our love must be
Don't ask why

[Pre-Chorus 1]
It takes some time
God knows how long
I know that I can forget you

[Chorus 1]
As soon as my heart stops breakin'
Anticipating
As soon as forever is through
I'll be over you

[Verse 2]
Remembering times gone by
Promises we once made
What are the reasons why
Nothing stays the same

[Pre-Chorus 2]
There were the nights
Holding you close
Someday I'll try to forget them

[Chorus 2]
As soon as my heart stops breakin'
Anticipating
As soon as forever is through
I'll be over you

[Guitar Solo]

[Chorus 3 with repeats]
As soon as my heart stops breakin'
Anticipating
(Anticipating)
Someday I'll be over you

As soon as my heart stops breakin'
Anticipating
(Anticipating)
Someday I'll be over you
As soon as my heart
(As soon as my heart stops breakin')
(Anticipating)

[Guitar solo until fade-out]"
599,Go Home,Stevie Wonder,Stevie Wonder,Go Home Stevie Wonder,error
600,My Sharona,The Knack,The Knack,My Sharona The Knack,"[Intro]

Oh my little pretty one, pretty one
When you gonna give me some time, Sharona
When you make my motor run, my motor run
Gun it coming off the line, Sharona

Never gonna stop, give it up
Such a dirty mind, always get it up
For the touch of the younger kind
My my my I yi woo
M-m-m-my Sharona

Come a little closer huh, ah will ya huh
Close enough to look in my eyes, Sharona
Keeping it a mystery gets to me
Running down the length of my thighs, Sharona

Never gonna stop, give it up
Such a dirty mind, always get it up
For the touch of the younger kind
My my my I yi woo
M-m-m-my Sharona
M-m-m-my Sharona

[Bridge]

When you gonna give it to me, give it to me
It's just a matter of time, Sharona
Is it just destiny, destiny
Or is it just a game in my mind, Sharona

Never gonna stop, give it up
Such a dirty mind, always get it up
For the touch of the younger kind
My my my I yi woo
M-m-m-my my my I yi woo
M-m-m-my Sharona
M-m-m-my Sharona
M-m-m-my Sharona
M-m-m-my Sharona

[Outro - Instrumental Bridge]

Oooooh, my Sharona
Oooooh, my Sharona
Oooooh, my Sharona"
