,Song,Artist,artist_trunc,search_term,lyrics_raw
1771,Rock and Roll Dreams Come Through,Meat Loaf,Meat Loaf,Rock and Roll Dreams Come Through Meat Loaf,"You can't run away forever
But there's nothing wrong with getting a good head start
You want to shut out the night
You want to shut down the sun
You want to shut away the pieces of a broken heart

Think of how we'd lay down together
We'd be listening to the radio so loud and so strong
Every golden nugget coming like a gift of the gods
Someone must have blessed us when he gave us those songs

I treasure your love
I never want to lose it
You've been through the fires of hell
And I know you've got the ashes to prove it

I treasure your love
I want to show you how to use it
You've been through a lot of pain in the dirt
And I know you've got the scars to prove it

Remember everything that I told you
And I'm telling you again that it's true
When you're alone and afraid
And you're completely amazed
To find there's nothing anybody can do

Keep on believing
And you'll discover baby

There's always something magic
There's always something new
And when you really, really need it the most
That's when rock and roll dreams come through

The beat is yours forever
The beat is always true
And when you really need it the most
That's when rock and roll dreams come through for you

Once upon a time was a backbeat
Once upon a time all the chords came to life
And the angels had guitars even before they had wings
If you hold onto a chorus you can get through the night

I treasure your love
I never want to lose it
And you've been through the fires of hell
And I know you've got the ashes to prove it

I treasure you love
I want to show you how to use it
You've been through a lot of pain in the dirt
And I know you've got the scars to prove it

Remember everything that I told you
And I'm telling you again that it's true
You're never alone cause you can put on the phones
And let the drummer tell your heart what to do

Keep on believing
And you'll discover baby

There's always something magic
There's always something new
And when you really, really need it the most
That's when rock and roll dreams come through

The beat is yours forever
The beat is always true
And when you really, really need it the most
That's when rock and roll dreams come through for you

(The beat is yours forever
That's when rock and roll dreams come through)
(The beat is yours forever
That's when rock and roll dreams come through)
(The beat is yours forever
That's when rock and roll dreams come through)
(The beat is yours forever
That's when rock and roll dreams come through)
(The beat is yours forever
That's when rock and roll dreams come through)
(The beat is yours forever
That's when rock and roll dreams come through)"
1772,Amazing,Aerosmith,Aerosmith,Amazing Aerosmith,"[Verse One]
I kept the right ones out
And let the wrong ones in
Had an angel of mercy to see me through all my sins
There were times in my life
When I was goin' insane
Tryin' to walk through the pain
When I lost my grip, and I hit the floor
Yeah, I thought I could leave but couldn't get out the door
I was so sick and tired of livin' a lie
I was wishin that I would die

[Chorus]
It's amazing
With the blink of an eye you, finally see the light
It's amazing
When the moment arrives that you know you'll be alright
It's amazing
And I'm sayin' a prayer for the desperate hearts tonight

[Bridge]
That one last shot's a permanent vacation
And how high can you fly with broken wings?
Life's a journey, not a destination
And I just can't tell just what tomorrow brings

[Verse Two]

You have to learn to crawl
Before you learn to walk
But I just couldn't listen to all that righteous talk, oh yeah
I was out on the street
Just tryin' to survive
Scratchin' to stay alive

[Chorus]

Desperate hearts, desperate hearts....

[Solo]

[Outro: Spoken]
""So from all of us at Aerosmith to all of you out there, wherever you are, remember: the light at the end of the tunnel may be you. Good night."""
1773,Always,Erasure,Erasure,Always Erasure,"[Verse 1]
Open your eyes I see
Your eyes are open
Wear no disguise for me
Come into the open

[Pre-Chorus]
When it's cold outside
Am I here in vain?
Hold on to the night
There will be no shame

[Chorus 2x]
Always, I want to be with you
And make believe with you
And live in harmony, harmony oh love

[Verse 2]
Melting the ice for me
Jump into the ocean
Hold back the tide I see
Your love in motion

[Pre-Chorus]
When it's cold outside
Am I here in vain?
Hold on to the night
There will be no shame

[Chorus 2x]
Always, I want to be with you
And make believe with you
And live in harmony, harmony oh love

[Pre-Chorus]
When it's cold outside
Am I here in vain?
Hold on to the night
There will be no shame

[Chorus 4x]
Always, I want to be with you
And make believe with you
And live in harmony, harmony oh love"
1774,Groove Thang,Zhane,Zhane,Groove Thang Zhane,"[Intro]
Well, it's a groove thang
It's got a funky swing
Well, it's a groove thang, a groove thang
Come on

[Chorus]
We're moving on, keeping strong
Don't you let them steer you wrong
It's a groove thang
We're gonna give you what you want
Just as long as you're around
It's a groove thang

We're moving on, keeping strong
Don't you let them steer you wrong
It's a groove thang
We're gonna give you what you want
Just as long as you're around
It's a groove thang

[Verse 1]
People, there's really nothing to it
Let your body rest, my friend, and do it
Remember, it ain't over 'til it's really over
A groove thang, groove thang
Relax your mind, listen to the rhythm
It's got you flowing but it's in precision
Music is life and we are living
Groove thang, groove thang, groove thang

[Chorus]
We're moving on, keeping strong
Don't you let them steer you wrong
It's a groove thang
We're gonna give you what you want
Just as long as you're around
It's a groove thang

[Verse 2]
It's gonna make you touch the sky
Your body's moving left to right
You're grooving to the morning light
It's a groove thang, oh yeah
It takes some time to realize
Your body's moving left to right
The feeling's, oh, so dynamite
It's a groove thang

So whatcha gonna do, whatcha gonna do
Keep your body move, moving
So whatcha gonna do, whatcha gonna do
Keep your body move, moving

[Bridge]
Party people, it's a silky fun and groove thang
Party people, it's a silky fun and groove thang
Oh yeah

[Chorus]
We're moving on, keeping strong
Don't you let them steer you wrong
It's a groove thang
We're gonna give you what you want
Just as long as you're around
It's a groove thang

We're moving on, keeping strong
Don't you let them steer you wrong
It's a groove thang
We're gonna give you what you want
Just as long as you're around
It's a groove thang, yeah"
1775,Dreams,Gabrielle,Gabrielle,Dreams Gabrielle,"[Intro]
They can come true, yeah
They can come true

[Verse 1]
Move a step closer you know that I want you
I can tell by your eyes that you want me too
Just a question of time I knew we'd be together
And that you'd be mine I want you here forever

[Pre-Chorus]
Do you hear what I'm saying?
Gotta say how I feel
I can't believe you're here
But I know that you're real
I know what I want and baby, it's you
I can't deny my feelings because they are true

[Chorus]
Dreams can come true
Look at me, babe, I'm with you
You know you gotta have hope
You know you gotta be strong
Dreams can come true
Look at me, babe, I'm with you
You know you gotta have hope
You know you gotta be strong

[Verse 2]
I've seen you sometimes on your own and in crowds
I knew I had to have you my hopes didn't let me down
Now you're by my side and I feel so good
I've nothing to hide don't feel that I ever could

[Pre-Chorus]
Do you hear what I'm saying?
Gotta say how I feel
I can't believe you're here
But I know that you're real
I know what I want, and baby, it's you
I can't deny my feelings because they are true

[Chorus]
Dreams can come true
Look at me, babe, I'm with you
You know you gotta have hope
You know you gotta be strong
Dreams can come true
Look at me, babe, I'm with you
You know you gotta have hope
You know you gotta be strong

[Bridge]
I'm not making plans for tomorrow let's live for tonight
I know I want you, baby, so hold me so tight
Put your arms around me you make me feel so safe
Then you whisper in my ear that you're here to stay

[Chorus]
Dreams can come true
Look at me, babe, I'm with you
You know you gotta have hope
You know you gotta be strong
Dreams can come true
Look at me, babe, I'm with you
You know you gotta have hope
You know you gotta be strong
Dreams can come true
Look at me, babe, I'm with you
You know you gotta have hope
You know you gotta be strong
Dreams can come true
Look at me, babe, I'm with you
You know you gotta have hope
You know you gotta be strong"
1776,Mr. Vain,Culture Beat,Culture Beat,Mr. Vain Culture Beat,"[Pre-Chorus: Tania Evans]
Call him Mr. Raider
Call him Mr. Wrong
Call him Mr. Vain

Call him Mr. Raider
Call him Mr. Wrong
Call him insane

[Chorus: Tania Evans]
He'd say: I know what I want
And I want it now
I want you, cause I'm Mr. Vain
I know what I want
And I want it now
I want you, cause I'm Mr. Vain

[Verse 1: Jay Supreme]
Call me raider, call me wrong
Call me insane, call me Mr. Vain
Call me what you like
As long as you call me, time and again
Feel the presence of the aura
Of the man, none to compare
Loveless dying
For a chance just to touch a hand
Or a moment to share
Can't deny the urge, that makes them
Want to lose themselves to the debonair one
Hold me back, the simple fact is
That I'm all that, and I'm always near
One sexy can't perplex me
Now you know who's raw
As if you didn't know before
I know what I want, and I want it now
I want you, and then I want a little more

[Pre-Chorus: Tania Evans]
Call him Mr. Raider
Call him Mr. Wrong
Call him Mr. Vain

Call him Mr. Raider
Call him Mr. Wrong
Call him insane

[Chorus: Tania Evans]
He'd say: I know what I want
And I want it now
I want you, cause I'm Mr. Vain
I know what I want
And I want it now
I want you, cause I'm Mr. Vain

Mr. Wrong
Mr. Wrong
Mr. Raider

[Verse 2: Jay Supreme]
Girls all over the world
They hope, and pray, and die for men like me
Cause I'm the one, begotten son
That breaks the mold, get a look at male epitome
Style has never seen
That makes you want to grab, and hold, and squeeze real tight
Who's gonna be the one to save you from yourself
When you wanna take a bite
Please, oh baby, please
You beg, you want to stay, you got to get some
Caught up in the charm, that I laid on thick
And now there's nowhere to run
Just another fish to pick the worm on the hook of my line
Yeah, I keep many
Females longing for a chance to win my heart
With S.E.X. and plenty

[Pre-Chorus: Tania Evans]
Call him Mr. Raider
Call him Mr. Wrong
Call him Mr. Vain

Call him Mr. Raider
Call him Mr. Wrong
Call him insane

[Chorus: Tania Evans]
He'd say: I know what I want
And I want it now
I want you, cause I'm Mr. Vain
I know what I want
And I want it now
I want you, cause I'm Mr. Vain

[Pre-Chorus: Tania Evans]
Call him Mr. Raider
Call him Mr. Wrong
Call him Mr. Vain

Call him Mr. Raider
Call him Mr. Wrong
Call him insane

[Chorus: Tania Evans]
He'd say: I know what I want
And I want it now
I want you, cause I'm Mr. Vain
I know what I want
And I want it now
I want you, cause I'm Mr. Vain

[Pre-Chorus: Tania Evans]
Call him Mr. Raider
Call him Mr. Wrong
Call him Mr. Vain

Call him Mr. Raider
Call him Mr. Wrong
Call him insane

[Chorus: Tania Evans]
He'd say: I know what I want
And I want it now
I want you, cause I'm Mr. Vain
I know what I want
And I want it now
I want you, cause I'm Mr. Vain

[ Outro: Tania Evans]
I know what I want
And I want it now
I want you, cause I'm Mr. Vain
I know what I want
And I want it now
I want you, cause I'm Mr. Vain"
1777,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,Tom Petty,Mary Jane's Last Dance Tom Petty,"She grew up in an Indiana town
Had a good lookin' mama who never was around
But she grew up tall and she grew up right
With them Indiana boys on them Indiana nights

Well, she moved down here at the age of eighteen
She blew the boys away, was more than they'd seen
I was introduced and we both started groovin'
She said, ""I dig you baby, but I got to keep movin' on
Keep movin' on.""

Last dance with Mary Jane, one more time to kill the pain
I feel summer creepin' in and I'm tired of this town again

Well, I don't know, but I've been told
You never slow down, you never grow old
I'm tired of screwin' up, tired of going down
Tired of myself, tired of this town

Oh, my, my, Oh, hell yes
Honey, put on that party dress
Buy me a drink, sing me a song
Take me as I come cause I can't stay long

[Hook]
Last dance with Mary Jane, one more time to kill the pain
I feel summer creepin' in and I'm tired of this town again

There's pigeons down on Market Square
She's standin' in her underwear
Lookin' down from a hotel room
Nightfall will be comin' soon

Oh, my, my, Oh, hell yes
You got to put on that party dress
It was too cold to cry when I woke up alone
I hit my last number and walked to the road

Last dance with Mary Jane, one more time to kill the pain
I feel summer creepin' in and I'm tired of this town again"
1778,Anything,SWV,SWV,Anything SWV,"There is nothing I wouldn't do for you
All that you want
I'll be all that you need
Cause boy you know you've got me
And I'll do anything

Anything you wanna do
I am gonna try to
Boy, my body's just for you
Pleasure is the destination
You can drive us if you choose to
All this love is for you

Anything you wanna do
I am gonna try to
Boy, my body's just for you
Pleasure is the destination
You can drive us if you choose to
All my love for you

Anything you wanna do
I am gonna try to
Boy, my body's just for you
Pleasure is the destination
You can drive us if you choose to

Anything you wanna do
I am gonna try to
Boy, my body's just for you
Pleasure is the destination
You can drive us if you choose to
All my love for you

Anything you wanna do
I am gonna try to
Boy, my body's just for you
Pleasure is the destination
You can drive us if you choose to"
1779,Beautiful in My Eyes,Joshua Kadison,Joshua Kadison,Beautiful in My Eyes Joshua Kadison,"You're my peace of mind
In this crazy world
You're everything I've tried to find
Your love is a pearl
You're my Mona Lisa
You're my rainbow skies
And my only prayer is that you realize...
You'll always be beautiful in my eyes

The world will turn
And the seasons will change
And all the lessons we will learn
Will be beautiful and strange
We'll have our fill of tears
Our share of sighs
My only prayer is that you realize...
You'll always be beautiful in my eyes

You will always be
Beautiful in my eyes
And the passing years will show
That you will always grow
Ever more beautiful in my eyes

And there are lines upon my face
From a lifetime of smiles
When the time comes to embrace
For one long last while
We can laugh about
How time really flies
We won't say good-bye
Cause' true love never dies...
You'll always be beautiful in my eyes

You will always be (You will always be)
Beautiful in my eyes (Beautiful in my eyes)
And the passing years will show
That you will always grow
Ever more beautiful in my eyes

The passing years will show
That you will always grow
Ever more beautiful in my eyes"
1780,Stay,Eternal,Eternal,Stay Eternal,"""Stay""

Stay (x3)

Stay baby
Stay, come on darling now
Stay, you know I want you back
Stay with me tonight
Come on won't you stay
Stay, oh
Stay
Stay with me

It seems I have the strangest dream
I'm dreaming that you are gonna leave me
I wake up and I find it's true
What will I do without you?
I don't know, I don't know
Just what it takes to get to you
I don't know, I don't know
Baby I'll be true if only you

Stay
Baby though I made you cry
Stay
Baby don't you say goodbye
Stay
Baby look me in my eye
Stay with me tonight

Come on baby

Baby though I made you cry
Stay
Baby don't you say goodbye
Stay
Won't you stay

They say that love will come and go
But your love's indispensible to me
I really wanna be with you
What are we gonna do boy
I don't know, I don't know
Just what it takes to get to you
I don't know, I don't know
Baby I'll be true if only you

Stay
Baby though I made you cry
Stay
Baby don't you say goodbye
Stay
Baby look me in my eye
Stay with me tonight

Even though I told you lies
Stay
Baby give me one more try
Stay
Stay with me

Come on baby
Won't you, won't you
Why don't you stay
Why don't you stay

Come on, come on, come on and stay
Come on, come on, come on and stay
Stay with me tonight

Oh, oh, oh
I want you to stay
Stay
Baby though I made you cry
Stay
Baby don't you say goodbye
Stay with me tonight
Come on baby
Made you cry
You don't have to say goodbye
Stay

(ad lib to fade)"
