,Song,Artist,artist_trunc,search_term,lyrics_raw
1181,Steppin' Out,Joe Jackson,Joe Jackson,Steppin' Out Joe Jackson,"[Verse 1: Joe Jackson]
Now
The mist across the window hides the lines
But nothing hides the color of the lights that shine
Electricity so fine
Look and dry your eyes

[Verse 2: Joe Jackson]
We
So tired of all the darkness in our lives
With no more angry words to say can come alive
Get into a car and drive
To the other side

[Chorus: Joe Jackson]
Me babe, steppin' out
Into the night
Into the light
You babe, steppin' out
Into the night
Into the light

[Verse 3: Joe Jackson]
We
Are young but getting old before our time
We'll leave the T.V. and the radio behind
Don't you wonder what we'll find
Steppin' out tonight?

[Verse 4: Joe Jackson]
You
Can dress in pink and blue just like a child
And in a yellow taxi turn to me and smile
We'll be there in just a while
If you follow me

[Chorus: Joe Jackson] x2
Me babe, steppin' out
Into the night
Into the light
You babe, steppin' out
Into the night
Into the light
Me babe, steppin' out
Into the night
Into the light
You babe, steppin' out
Into the night
Into the light
Me babe, steppin' out
Into the night
Into the light"
1182,Take Me to Heart,Quarterflash,Quarterflash,Take Me to Heart Quarterflash,"You won't forget my eyes
Ooh deep inside you realize
You're gonna see me wherever you go
You're gonna hear me on your radio
There you are in your car
And suddenly
You hear me
""Do you want me
Do you want me""

Take me to heart
I promise you a miracle
Take me to heart
You're gonna be mine
Take me to heart
You know it's just a matter of time

I'm always on your mind
I'm the chill that never left your spine
In the building where you live and breathe
I'm the sound that never lets you sleep
Down the hall through the walls
You hear a voice that's calling
""Do you want me
Do you want me""

Take me to heart
Don't deny the miracle
Take me to heart
What more can I say
Take me to heart
Surrender's just a motion away
(Repeat)"
1183,(She's) Sexy + 17,Stray Cats,Stray Cats,(She's) Sexy + 17 Stray Cats,error
1184,Try Again,Champaign,Champaign,Try Again Champaign,"I been starin' at your photograph
Wondering where you're at today
And I've been hanging by the telephone
Hopin' that you'd call home and stay

You told me you needed
More walks, more talks
More feelin' close to me
I wanna be close to you

I didn't know you needed
Some roses, some romance
A little candlelight and slow dance
That's not how it's been
But maybe we can try again
Try, try, maybe we can try again

I remember all the days gone by
And I'm wonderin' why I couldn't see
I could search the whole world over
And never find what you were always giving me

I told you I needed
More time, more space, more freedom
(Free to do) free to do, girl
What you wanna do

I gave you no roses, no romance
No candlelight and no slow dance
But that's just how it's been
Maybe we can try again
Try, try, maybe we can try again
Try, try, maybe we can try again, yeah

[Instrumental Interlude]

Ooooooh, I remember when
You told me you needed
More walks, more talks
More feelin' close to me
I wanna be close to you, yeah

I'll give you some roses
Whole lot of romance
A little candlelight (slow dance)
Don't let this feeling end
Maybe we can try again
Try, try, maybe we can try again

Maybe we can try again
We can try again
Maybe we can try again
Maybe we can try again"
1185,Dead Giveaway,Shalamar,Shalamar,Dead Giveaway Shalamar,"[Verse]
How long you gonna carry on
This one on one charade?
Let's don't and then say we did
That's the game you like to play
Ooh, we've been through this so many times
The end result's always the same
I always end up complaining
When I've got myself to blame

[Chorus]
You're just a dead giveaway, yeah
You'd think I'd learn to handle this by now
You're just a dead giveaway (dead giveaway)
Girl, you can't deny it (Even though you try), oh oh
You keep trying to hide it (Baby, we know why)

I get a call about 2 a.m
Saying you don't wanna be alone
I'm tired and half asleep
But emotions are just a little too strong
Oo, I figured that I'd call your bluff
'Cause you want me to come on by
Girl, you know it's your love I've always wanted
But this time I won't be denied

[Chorus]
'Cause you're a dead giveaway, hey
You want me like I want you
You're just a dead giveaway (dead giveaway)
You're scared but you won't admit it (Even though you try), ooh yeah
But tonight you're committed (baby, we know why)
'Cause you're just a dead giveaway

A dead giveaway

You're not that naïve, girl (I'm finding out), ooh ooh
Is playing deceiver (what you're all about?)

Dead giveaway
Dead giveaway

Girl, you can't deny it (even though you try), ooh ooh, baby
You keep trying to hide it (baby, we know why)

Well, now that you're serious
It's time to take off that disguise
You want more that mental stimulation
I can see it in your eyes
Oo, for years I've been your analyst
I've been as patient as I've been kind
For years you've played off believing
That I loved you for only your mind

[Pre-Chorus]
You're just a dead giveaway
Girl, you want me like I want you
Dead giveaway

[Chorus]
Dead giveaway
You've been holding back for too long
You're a dead giveaway (dead giveaway)
You're scared but you won't admit it (even though you try), oo oh
But tonight you are committed (baby, we know why)

'Cause you're a dead giveaway
I can tell by the look in your eyes
A dead giveaway (dead giveaway)

I'm finding out

What you're all about?

You're just a dead giveaway"
1186,Lawyers in Love,Jackson Browne,Jackson Browne,Lawyers in Love Jackson Browne,"I can't keep up with what's been going down
I think my heart must just be slowing down
Among the human beings
In their designer jeans
Am I the only one who hears the screams
And the strangled cries of lawyers in love

God sends his spaceships to America the beautiful
They land at six o'clock and there we are, the dutiful
Eating from TV trays
Tuned into Happy Days
Waiting for World War III while Jesus slaves
To the mating calls of lawyers in love

Last night I watched the news from Washington, the capital
The Russians escaped while we weren't watching them, like Russians will
Now we've got all this room
We've even got the moon
And I hear the USSR will be open soon
As vacation land for lawyers in love

Lawyers in love
Lawyers in love"
1187,What About Me,Moving Pictures,Moving Pictures,What About Me Moving Pictures,"Well, there's a little boy waiting
At the counter of the corner shop
He's been waiting down there, waiting half the day
They never ever see him from the top
He gets pushed around, knocked to the ground
He gets to his feet and he says...

What about me? It isn't fair
I don't have enough, now I want my share
Can't you see, I wanna live
But you just take more than you give

Well, there's a pretty girl serving
At the counter of the corner shop
She's been waiting back there, waiting for a dream
Her dreams walk in and out; they never stop
Well she's not too proud, to cry out loud
She runs to the street and she screams...

What about me? It isn't fair
I don't have enough, now I want my share
Can't you see, I wanna live
But you just take more than you give

More than you give...

Take a step back and see the little people
They might be young
But they're the ones that make the big people big
So listen as they whisper:
""What about me?""

And now I'm standing on the corner
All the world's gone home
Nobody's changed, nobody's been saved
And I'm feeling cold and alone
I guess I'm lucky, I smile a lot
But sometimes I wish for more, than I've got...

What about me? It isn't fair
I don't have enough, now I want my share
Can't you see, I wanna live
But you just take more...

What about me? It isn't fair
I don't have enough, now I want my share
Can't you see, I wanna live
But you just take more, you just take more
You just take more than you give

What about me?
What about me?
What about...me?"
1188,Human Nature,Michael Jackson,Michael Jackson,Human Nature Michael Jackson,"[Verse 1]
Looking out, across the nighttime
The city winks a sleepless eye
Hear her voice, shake my window
Sweet seducing sighs
Get me out, into the nighttime
Four walls won't hold me tonight
If this town is just an apple
Then let me take a bite

[Hook]
If they say why, why
Tell them that it's human nature
Why, why does he do me that way
If they say why, why
Tell them that it's human nature
Why, why, does he do me that way

[Verse 2]
Reaching out to touch a stranger
Electric eyes are everywhere
See that girl, she knows I'm watching
She likes the way I stare

[Hook]
If they say why, why
Tell them that it's human nature
Why, why does he do me that way
If they say why, why
Tell them that it's human nature
Why, why, does he do me that way

[Bridge]
I like livin' this way
I like lovin' this way
(That way) Why why
(That way) Why why

[Verse 3]
Looking out, across the morning
The city's heart begins to beat
Reaching out, I touch her shoulder
I'm dreaming of the street

[Hook]
If they say
Why, why, tell 'em that it's human nature
Why, why, does he do me that way
If they say
Why, why, ooo tell 'em
Why, why does he do me that way
If they say why, why, cha cha cha cha cha cha
Why does he do me that way
If they say why, why, why, ooo tell 'em
Why does he do me that way
If they say why, ooo tell 'em
Why does he do me that way
If they say why, da da da da da da da da
Why why does he do my that way, I like living this way
Why, oh why, why, why"
1189,Photograph,Def Leppard,Def Leppard,Photograph Def Leppard,"Huh!
I'm outa luck, outa love
Gotta photograph, picture of
Passion killer, you're too much
You're the only one I wanna touch
I see your face every time I dream
On every page, every magazine
So wild and free so far from me
You're all I want, my fantasy

Oh, look what you've done to this rock 'n' roll clown
Oh Oh, look what you've done

Photograph - I don't want your
Photograph - I don't need your
Photograph - All I've got is a photograph
But it's not enough

I'd be your lover, if you were there
Put your hurt on me, if you dare
Such a woman, you got style
You make every man feel like a child
You got some kinda hold on me
You're all wrapped up in mystery
So wild and free so far from me
You're all I want, my fantasy

Oh, Look what you've done to this rock'n'roll clown
Oh Oh, Look what you've done

[Repeat Chorus]

You've gone straight to my head"
1190,Pass the Dutchie,Musical Youth,Musical Youth,Pass the Dutchie Musical Youth,"This generation
Rules the nation
With version

Music happen to be the food of love
Sounds to really make you rub and scrub
(scatting) I say

Pass the Dutchie 'pon the left hand side
Pass the Dutchie 'pon the left hand side
It a go bun, give me music, make me jump and prance
It a go dung, give me the music, make me rockin' at the dance
(Jah know!)

It was a cool and lonely breezy afternoon
(How does it feel when you've got no food ?)
You could feel it cause it was the month of June
(How does it feel when you've got no food ?)
So I left my gate and went out for a walk
(How does it feel when you've got no food ?)
As I pass the dreadlocks' camp I heard them say
(How does it feel when you've got no food ?)

Pass the Dutchie 'pon the left hand side
Pass the Dutchie 'pon the left hand side
It a go bun, give me music, make me jump and prance
It a go dung, give me the music, make me rockin' at the dance
(Jah know!)

(scatting)

So I stopped to find out what was going on
(How does it feel when you've got no food ?)
Cause the spirit of Jah, you know he leads you on
(How does it feel when you've got no food ?)
There was a ring of dreads and a session was there in swing
(How does it feel when you've got no food ?)
You could feel the chill as I seen and heard them say
(How does it feel when you've got no food ?)

Pass the Dutchie 'pon the left hand side
Pass the Dutchie 'pon the left hand side
It a go bun, give me music, make me jump and prance
It a go dung, give me the music, make me rockin' at the dance
(Jah know!)

Cause me say listen to the drummer, me say listen to the bass
Give me little music make me wind up me waist
Me say listen to the drummer, me say listen to the bass
Give me little music make me wind up me waist, I say

Pass the Dutchie 'pon the left hand side
Pass the Dutchie 'pon the left hand side
It a go bun, give me music, make me jump and prance
It a go dung, give me the music, make me rockin' at the dance
(Jah know!)

You play it on the radio
And so me say, we a go hear it on the stereo
And so me know you a go play it on the disco
And so me say we a go hear it on the stereo

Pass the Dutchie 'pon the left hand side
Pass the Dutchie 'pon the left hand side
It a go bun, give me music, make me jump and prance
It a go dung, give me the music, make me rockin' at the dance
(Jah know!)

I say east, say west, say north and south
This is gonna really make us jump and shout"
1191,True,Spandau Ballet,Spandau Ballet,True Spandau Ballet,"[Intro]
Huh huh huh hu-uh huh
Huh huh huh hu-uh huh

[Verse 1]
So true funny how it seems
Always in time, but never in line for dreams
Head over heels when toe to toe
This is the sound of my soul
This is the sound
I bought a ticket to the world
But now I've come back again
Why do I find it hard to write the next line
Oh I want the truth to be said

[Chorus]
Huh huh huh hu-uh huh
I know this much is true
Huh huh huh hu-uh huh
I know this much is true

[Verse]
With a thrill in my head and a pill on my tongue
Dissolve the nerves that have just begun
Listening to Marvin (all night long)
This is the sound of my soul
This is the sound
Always slipping from my hands
Sand's a time of its own
Take your seaside arms and write the next line
Oh I want the truth to be known

[Chorus]
Huh huh huh hu-uh huh
I know this much is true
Huh huh huh hu-uh huh
I know this much is true

[Bridge]
I bought a ticket to the world
But now I've come back again
Why do I find it hard to write the next line
Oh I want the truth to be said

Huh huh huh hu-uh huh
I know this much is true
Huh huh huh hu-uh huh
I know this much is true
This much is true
This much is true
This much is true
I know, I know, I know this much is true
This much is true
This much is true
This much is true
This much is true
I know this much is true
This much is true
This much is true
I know this much is true
This much is true
This much is true"
1192,Far from Over,Frank Stallone,Frank Stallone,Far from Over Frank Stallone,"This is the end
You made your choice and now my chance is over

I thought I was in
You put me down and say I'm goin' nowhere

Save me darlin'
I am down but I am far from over

Give me somethin'
I need it all 'cause I am runnin' over

Back in the race I'm movin' in 'cause I am getting closer
I'm diggin' in

I want it more than anything I've wanted
Save me darlin'

I am down but I am far from over. . ..
Save me darlin'

I am down but I am far from over
Give me somethin'

I need it all 'cause I am runnin' over

I'm runnin' over
I'm runnin' over"
1193,I've Got a Rock 'n' Roll Heart,Eric Clapton,Eric Clapton,I've Got a Rock 'n' Roll Heart Eric Clapton,"[Verse 1]
I've got a feeling we could be serious, girl
Right at this moment, I could promise you the world
Before we go crazy, before we explode
There's something about me, baby, you got to know
You got to know

[Chorus]
I get off on '57 Chevys
I get off on screaming guitar
Like the way it hits me every time it hits me
I've got a rock and roll, I've got a rock and roll heart

[Verse 2]
Feels like we're falling into the arms of the night
So if you're not ready, don't be holding me so tight
I guess there's nothing left for me to explain
Here's what you're getting and I don't want to change
I don't want to change

[Chorus]

[Bridge]
I don't need to glitter, no Hollywood
All you got to do is lay it down and you lay it down good

[Chorus]"
1194,It Might Be You,Stephen Bishop,Stephen Bishop,It Might Be You Stephen Bishop,"Time...
I've been passing time watching trains go by
All of my life
Lying on the sand watching sea birds fly
Wishing there would be
Someone waiting home for me
Something's telling me it might be you
It's telling me it might be you
All of my life

Looking back as lovers go walking past
All of my life
Wondering how they met and what makes it last
If I found the place
Would I recognize the face
Something's telling me it might be you
Yeah, it's telling me it might be you

So many quiet walks to take
So many dreams to make
And with so much love to make
I think we're gonna meet some time
Maybe all we need is time...
And it's telling me it might be you
All of my life

I've been saving love songs and lullabies
And there's so much more
No one's ever heard before
Something's telling me it might be you
Yeah, it's telling me it must be you
And I'm feeling it'll just be you all of my life

It's you, It's you
I've been waiting for all of my life
Maybe it's you (It's you), maybe it's you (It's you)
I've been waiting for you all of my life
Maybe it's you, maybe it's you
I've been waiting for all of my life"
1195,"Tonight, I Celebrate My Love",Peabo Bryson and Roberta Flack,Peabo Bryson,"Tonight, I Celebrate My Love Peabo Bryson","Tonight I celebrate my love for you
It seems the natural thing to do
Tonight, no one's gonna find us
We'll leave the world behind us
When I make love to you

Tonight, I celebrate my love for you
And hope that deep inside you'll feel it too
Tonight, our spirits will be climbing
To a sky filled up with diamonds
When I make love to you, tonight

Tonight I celebrate my love for you
And that midnight sun is gonna come shining through
Tonight, there'll be no distance between us
What I want most to do, is to get close to you, tonight

Tonight I celebrate my love for you
And soon this old world will seem brand new
Tonight we will both discover how friends turn into lovers
When I make love to you

Tonight I celebrate my love for you
And the midnight sun is gonna come shining through
Tonight there'll be no distance between us
What I want most to do, is to get close to you

Tonight I celebrate my love for you
Tonight"
1196,You Got Lucky,Tom Petty and the Heartbreakers,Tom Petty,You Got Lucky Tom Petty,"You better watch what you say
You better watch what you do to me
Don't get carried away
Girl, if you can do better than me, go
Yeah go but remember

Good love is hard to find
You got lucky babe
Yeah, you got lucky babe
When I found you

You put a hand on my cheek
And then you turn your eyes away
If you don't feel complete
If I don't take you all of the way, go

(Chorus)"
1197,Don't Cry,Asia,Asia,Don't Cry Asia,"Hard Times you had before you
I knew when I first saw you
You girl you've always been mistreated, cheated

So leave it all behind you
It took so long to find you
I know that we can last forever, ever and more, more, oh

[Chorus]
Don't cry now that I've found you
Don't cry take a look around you
Don't cry it took so long to find you
Do what you want, but little darling please, don't cry

I knew I'd never doubt it
I was so sure about it
Don't think of all that's been before

I'll hear you when you're calling
I'll catch you when you're falling
Don't worry I will always be there
Like never before, oh, oh

[Chorus to fadeout]"
1198,Breaking Us in Two,Joe Jackson,Joe Jackson,Breaking Us in Two Joe Jackson,"Don't you feel like trying something new?
Don't you feel like breaking out or breaking us in two?
You don't do the things that I do
You wanna do things I can't do
Always something breaking us in two

You and I could never live alone
But don't you feel like breaking out just one day on your own?
Why does what I'm saying hurt you?
I didn't say that we were through
Always something breaking us in two

They say two hearts should beat as one for us
We'll fight it out to see it through
I say that won't be too much fun for us
Though it's oh so nice to get advice
It's oh so hard to do

Could we be much closer if we tried?
We could stay at home and stare into each other's eyes
Maybe we could last an hour
Maybe then we'd see right through
Always something breaking us in two

Always something breaking us in two"
