,Song,Artist,artist_trunc,search_term,lyrics_raw
2951,A Woman's Worth,Alicia Keys,Alicia Keys,A Woman's Worth Alicia Keys,"[Verse 1]
You could buy me diamonds, you could buy me pearls
Take me on a cruise around the world. (baby you know I'm worth it)
Dinner lit by candles, run my bubble bath. Make love tenderly to
Last and last. (baby you know I'm worth it)

[Pre-Chorus]
Wanna please, wanna keep, wanna treat your woman right
Not just dough, but to show that you know she is worth your time
You will lose if you chose to refuse to put her first
She will and she can find a man who knows her worth

[Chorus]
Cause a real man, knows a real woman when he sees her
And a real woman knows a real man ain't afraid to please her
And a real woman knows a real man always comes first
And a real man just can't deny a woman's worth

Mm Hmm Mm Hmmm
Mm Hmm Mm Hmmm
Mm Hmm Mm Hmmm, Hm

[Verse 2]
If you treat me fairly, I'll give you all my goods
Treat you like a real woman should. (baby I know you're worth it)
If you never play me, promise not to bluff. I'll hold you down
When shit gets rough. (baby I know you're worth it)

[Pre-Chorus]
She walks with a mile, makes you smile all the while being true
Don't take for granted the passions that she has for you
You will lose if you chose to refuse to put her first
She will and she can find a man who knows her worth

[Chorus]
Cause a real man knows a real woman when he sees her
And a real woman knows a real man ain't afraid to please her
And a real woman knows a real man always comes first
And a real man just can't deny a woman's worth
No need to read between the lines, spelled out for you (spelled out for you)
Just hear this song cause you can't go wrong when you value. (better value)
A woman's (woman's) Woman's (woman's) Worth
Cause a real man knows a real woman when he sees her
And a real woman knows a real man ain't afraid to please her
And a real woman knows a real man always comes first
And a real man just can't deny a woman's worth
Cause a real man knows a real woman when he sees her
And a real woman knows a real man ain't afraid to please her
And a real woman knows a real man always comes first
And a real man just can't deny a woman's worth"
2952,7 Days,Craig David,Craig David,7 Days Craig David,"[Verse 1]
On my way to see my friends
Who lived a couple blocks away from me (owh)
As I walked through the subway
It must have been about quarter past three
In front of me
Stood a beautiful honey with a beautiful body
She asked me for the time
I said it'd cost her a name
A six digit number & a date with me tomorrow at nine

Did she decline? No
Didn't she mind? I don't think so
Was it for real? Damn sure
What was the deal? A pretty girl aged 24
So was she keen? She couldn't wait
Cinnamon queen? let me update
What did she say? She said she'd love to
Rendezvous
She asked me what we were gonna do
Said we'd start with a bottle of moet for two

[Hook]
Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday & Friday & Saturday we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday & Friday & Saturday we chilled on Sunday

[Verse 2]
Nine was the time
Cos I'll be getting mine
And she was looking fine
Smooth talker
She told me
She'd love to unfold me all night long
Ooh I loved the way she kicked it
From the front to back she flipped it
And I oh oh I yeah
Hope that she'd care
Cos I'm a man who'll always be there

I'm not a man to play around, baby
Cos a one night stand isn't really fair
From the first impression girl hmm you don't seem to be like that
Cos there's no need to chat 'for there'll be plenty time for that
From the subway to my home
Endless ringing off my phone
When you feeling all alone
All you gotta do
Is just call me call me, call me

[Hook]
Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday & Friday & Saturday we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday & Friday & Saturday we chilled on Sunday

[Bridge]
(Break it down, uh break it down)
Since I met this special lady
Ooh yeah
I can't get her of my mind
She's one of a kind
And I ain't about to deny it
It's a special kinda thing
With you

[Hook x2]
Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday & Friday & Saturday we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday & Friday & Saturday we chilled on Sunday"
2953,Hey Ma,Cam'ron featuring Juelz Santana and Freekey Zekey,Cam'ron featuring,Hey Ma Cam'ron featuring,"[Chorus: Freekey Zekey (Toya)]
Hey ma (wassup)
Let's slide (all right)
All right - and we gon get it on tonight
You smoke? (I smoke)
I drink (me too)
Well good - cause we gon' get high tonight
Got drops (got coupes) got trucks (got jeeps)
All right - cause we gon' take a ride tonight
So ma (wassup) Let's slide (all right)
All right - and we gon' get it on tonight

[Verse 1: Juelz Santana]
Yo, now I was downtown clubbing, ladies night
Seen shorty, she was crazy right
And I approach baby like: ""Ma, what's your age and type?""
She looked at me and said, you's a baby, right
I told her, ""I'm 18 and live a crazy life
Plus I'll tell you what the 80's like
And I know what the ladies like
Need a man that's polite, listens and takes advice
I could be all three, plus I can lay the pipe
Come with me, come stay the night""
She looked at me laughing; like ""boy, your game is tight""
I'm laughing back like, sure you're right, get in the car
And don't touch nothing, sit in the car
Let's discuss something, either we lovin' or I'll see you tomorrow
Now we speeding up the West Side
Hand creepin up her left side, I'm ready to do it
Ready to bone, ready for dome
55th exit, damn, damn, already we home
Now let's get it on

[Chorus: Freekey Zekey (Toya)]
Hey ma (wassup)
Let's slide (all right)
All right - and we gon get it on tonight
You smoke? (I smoke)
I drink (me too)
Well good - cause we gon' get high tonight
Got drops (got coupes) got trucks (got jeeps)
All right - cause we gon' take a ride tonight
So ma (wassup) Let's slide (all right)
All right - and we gon' get it on tonight

[Verse 2: Cam'ron {Juelz Santana}]
Yo.. uhh
Now that I got a girl, my ex wanna holla and spit
Told me to acknowledge her quick
She like ""Cam, stop fronting on that Dave Hollister tip
Come over let's swallow and sip.""
I'm like: ""momma is sick
I promise you dick, usually have a problem with chicks (why?)
They all say I'm rotten and rich""
But not her, boobies' real, high heel doobie feel
Plus got them Gucci nails, huh
You a cutie still (still)
And this my down girl too - ain't no groupie deal
We left the movies with Uzis, Suzuki wheels
To the jacuzzi, I tell you, my boo be's real
I mean she do be winning, Louie spinning
Go to the crib, she got the Gucci linen
I see boo be grinning
She looked and said: ""Cam, I know that you be sinning""
""Naw! I'm a changed man, look at the Range, ma'am
(Look) I got a whole new game plan""
Looked and said: ""That's nothing but game, Cam""
She was right, she was up in the Range, man (she know me)
Dropped her off at the L, now I'm flipping the cell
That's right, I had to call up L
Yo L {what up?} I hit {what else}
Plus dome {say word} and we got it on tonight

[Chorus: Freekey Zekey (Toya)]
Hey ma (wassup)
Let's slide (all right)
All right - and we gon get it on tonight
You smoke? (I smoke)
I drink (me too)
Well good - cause we gon' get high tonight
Got drops (got coupes) got trucks (got jeeps)
All right - cause we gon' take a ride tonight
So ma (wassup) Let's slide (all right)
All right - and we gon' get it on tonight"
2954,Work It,Missy Elliott,Missy Elliott,Work It Missy Elliott,"[Intro]
DJ, please pick up your phone, I'm on the request line
This is a Missy Elliott one-time exclusive, come on

[Chorus]
Is it worth it? Let me work it
I put my thing down, flip it and reverse it
Ti esrever dna ti pilf, nwod gniht ym tup
Ti esrever dna ti pilf, nwod gniht ym tup
If you got a big *elephant trumpet*, let me search ya
And find out how hard I gotta work ya
Ti esrever dna ti pilf, nwod gniht ym tup
Ti esrever dna ti pilf, nwod gniht ym tup

[Verse 1]
I'd like to get to know ya so I could show ya
Put the pussy on ya like I told ya
Give me all your numbers so I can phone ya
Your girl acting stank, then call me over
Not on the bed, lay me on your sofa
Call before you come, I need to shave my chocha
You do or you don't or you will or won't ya?
Go downtown and eat it like a vulture
See my hips and my tips, don't ya?
See my ass and my lips, don't ya?
Lost a few pounds and my waist for ya
This the kinda beat that go ra-ta-ta
Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta
Sex me so good I say blah-blah-blah
Work it, I need a glass of water
Boy, oh boy, it's good to know ya

[Hook]
Is it worth it? Let me work it
I put my thing down, flip it and reverse it
Ti esrever dna ti pilf, nwod gniht ym tup
Ti esrever dna ti pilf, nwod gniht ym tup
If you got a big *elephant trumpet*, let me search ya
And find out how hard I gotta work ya
Ti esrever dna ti pilf, nwod gniht ym tup
Ti esrever dna ti pilf, nwod gniht ym tup

[Verse 2]
If you a fly gal, get your nails done
Get a pedicure, get your hair did
Boy, lift it up, let's make a toast-a
Let's get drunk, that's gonna bring us closer
Don't I look like a Halle Berry poster?
See the Belvedere playing tricks on ya
Girlfriend wanna be like me, never
You won't find a bitch that's even better
I make you hot as Las Vegas weather
Listen up close while I take it backwards
*backwards* Watch the way Missy like to take it backwards
I'm not a prostitute, but I could give you what you want
I love your braids and your mouth full of floss
Love the way my ass go bum-bum-bum-bum
Keep your eyes on my bum-bum-bum-bum-bum
You think you can handle this badonkadonk-donk
Take my thong off and my ass go boom
Cut the lights on so you see what I could do

[Chorus]
Is it worth it? Let me work it
I put my thing down, flip it and reverse it
Ti esrever dna ti pilf, nwod gniht ym tup
Ti esrever dna ti pilf, nwod gniht ym tup
If you got a big *elephant trumpet*, let me search ya
And find out how hard I gotta work ya
Ti esrever dna ti pilf, nwod gniht ym tup
Ti esrever dna ti pilf, nwod gniht ym tup

[Verse 3]
Boys, boys, all type of boys
Black, White, Puerto Rican, Chinese boys
Why-thai, thai-o-toy-o-thai-thai
Rock-thai, thai-o-toy-o-thai-thai
Girls, girls, get that cash
If it's 9 to 5 or shaking your ass
Ain't no shame, ladies do your thing
Just make sure you ahead of the game
Just 'cause I got a lot of fame super
Prince couldn't get me change my name, papa
Kunta Kinte a slave again, no sir
Picture blacks saying, ""Oh yes'a, massa"" (No!)
Picture Lil' Kim dating a pastor
Minute Man and Big Red could outlast ya
Who is the best? I don't have to ask ya
When I come out, you won't even matter
Why you act dumb like, uh, duh?
So you act dumb like, uh, duh
As the drummer boy go ba-rom-pop-pom-pom
Give you some-some-some of this Cinnabun

[Chorus]
Is it worth it? Let me work it
I put my thing down, flip it and reverse it
Ti esrever dna ti pilf, nwod gniht ym tup
Ti esrever dna ti pilf, nwod gniht ym tup
If you got a big *elephant trumpet*, let me search ya
And find out how hard I gotta work ya
Ti esrever dna ti pilf, nwod gniht ym tup
Ti esrever dna ti pilf, nwod gniht ym tup

[Outro]
To my fellas, I like the way you work that
To my ladies, you sure know how to work that"
2955,Move Bitch,Ludacris featuring Mystikal and I-20,Ludacris featuring,Move Bitch Ludacris featuring,"[Hook: Ludacris]
Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

[Verse 1: Ludacris]
Oh no! The fight's out
I'm bout to punch your lights out
Get the fuck back, guard your grill
There's something wrong, we can't stay still
I've been dranking and busting too
And I been thanking of busting you
Upside your motherfuckin' forehead
And if your friends jump in, they'll be mo' dead
Causing confusion, Disturbin' Tha Peace
It's not an illusion, we running the streets
So bye-bye to all you groupies and gold diggers
Is there a bumper on your ass? No nigga!
I'm doing a hundred on the highway
So if you do the speed limit, get the fuck outta my way
I'm D.U.I., hardly ever caught sober
And you abouts to get ran the fuck over

[Hook: Ludacris]
Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

[Verse 2: Mystikal]
Here I come, here I go
Uh oh, don't jump bitch: move!
You see them headlights? You hear that fuckin' crowd?
Start that goddamn show, I'm comin' through
Hit the stage and knock the curtains down
I fuck the crowd up - that's what I do
Young and successful - a sex symbol
The bitches want me to fuck 'em - true, true
Hold up, wait up, shorty
Oh what's up, getting my dick sucked, what are you doing
Sidelining my fuckin' business
Trying to get my paper, child support suing
Give me that truck and take that rental back
Who bought these fucking TV's and jewelry bitch, tell me that
No, I ain't bitter, I don't give a fuck
But I'mma tell you like this bitch
You better not walk in front of my tour bus

[Hook: Ludacris]
Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

[Verse 3: I-20]
2-0, I'm on the right track
Beef, got the right mack
Hit the trunk, grab the pump, punk I'll be right back
We buying bars out, showing scars out
We heard there's hoes out, so we brought the cars out
Grab the pills cause we robbing tonight
Beat the shit outta of security for stopping the fight
I got a fifth of the Remy, fuck the Belve and Cris
I'm selling shit up in the club like I work in that bitch
Fuck the dress codes, it's street clothes, we all street niggas
We on the dance floor, throwing bows, beating up niggas
I'm from the Dec', try to disrespect D.T.P
And watch the bottles start flying from the V.I.P
Fuck this rap shit, we clap bitch, two in ya body
Grab ya four, start a fight dog, ruin the party
So move bitch, get out the way ho
All you faggot motherfuckers make way for 2-0"
2956,Can't Fight the Moonlight,LeAnn Rimes,LeAnn Rimes,Can't Fight the Moonlight LeAnn Rimes,"[Verse 1]
Under a lovers' sky
Gonna be with you
And no one's gonna be around
If you think that you won't fall
Well, just wait until
Til the sun goes down

[Hook]
Underneath the starlight, starlight
There's a magical feeling so right
It will steal your heart tonight

[Chorus]
You can try to resist
Try to hide from my kiss
But you know, but you know that you
Can't fight the moonlight
Deep in the dark, you'll surrender your heart
But you know, but you know that you
Can't fight the moonlight
No, you can't fight it
It's gonna get to your heart

[Verse 2]
There's no escaping love
Once a gentle breeze
Weaves it's spell upon your heart
No matter what you think
It won't be too long
'Til you're in my arms

[Hook]
Underneath the starlight, starlight
We'll be lost in the rhythm so right
It will steal your heart tonight

[Chorus]
You can try to resist
Try to hide from my kiss
But you know, but you know that you
Can't fight the moonlight
Deep in the dark, you'll surrender your heart
But you know, but you know that you
Can't fight the moonlight
No, you can't fight it
No, matter what you do
The night is gonna get to you

[Bridge]
Never know
Cannot know
Don't try
You're never gonna win

[Hook]
Underneath the starlight, starlight
There's a magical feeling so right
It will steal your heart tonight

[Chorus]
You can try to resist
Try to hide from my kiss
But you know
But you know that you can't fight the moonlight
Deep in the dark
You'll surrender your heart
But you know
But you know that you can't fight the moonlight
No, you can't fight it
You can try to resist
Try to hide from my kiss
But you know
(Don't you know) that you can't fight the moonlight
Deep in the dark
You'll surrender your heart (surrender your heart)
But you know
But you know that you can't fight the moonlight
No, you can't fight it
It's gonna get to your heart"
2957,Escape,Enrique Iglesias,Enrique Iglesias,Escape Enrique Iglesias,"[Intro]
You can run, you can hide
But you can't escape my love
You can run, you can hide
But you can't escape my love

[Verse 1]
Here's how it goes, you and me, up and down
But maybe this time we'll get it right, worth the fight
'Cause love is something you can't shake
When it breaks
All it takes is some trying

[Chorus]
If you feel like leaving
I'm not gonna beg you to stay
But soon you'll be finding
You can run, you can hide
But you can't escape my love
You can run, you can hide
But you can't escape my love

[Verse 2]
So if you go
You should know
It's hard to just forget the past so fast
It was good, it was bad but it was real
And that's all you have in the end, our love mattered

[Chorus]
If you feel like leaving
I'm not going to beg you to stay (I won't beg you to stay)
But soon you'll be finding
You can run, you can hide
But you can't escape my love
You can run, you can hide
But you can't escape my love

[Bridge]
You can run (you can run)
You can hide (you can hide)
But you can't escape my love (my love)
You can run (you can run)
You can hide (you can hide)
But you can't escape my love

[Pre-Chorus]
Here's how it goes
All it takes is some trying
You can run...

[Chorus]
If you feel like leaving
I'm not going to beg you to stay (I won't beg you to stay)
But soon you'll be finding (you'll be finding)
You can run, you can hide
But you can't escape my love
If you feel like leaving
I'm not going to beg you to stay
You can't escape my love
But soon you'll be finding
You can run, you can hide
But you can't escape my love

You can run [repeated 'til the end of the song]

[Outro]
Baby, you can run, baby, you can hide
But you can't escape my love
Baby, you can run, baby, you can hide
But you can't escape my love
But you can't escape my love
You can run, you can hide
But you can't escape my love"
2958,More than a Woman,Aaliyah,Aaliyah,More than a Woman Aaliyah,"[Verse 1]
Passion, instant
Sweat beads, feel me
Cupid's shot me
My heartbeat's racing
Tempt me, drive me
Feels so exciting
Thought of highly
It's yours entirely
I'll be

[Hook]
I'll be more than a lover
More than a woman
More than your lover (I'll be)
I'll be more than a lover
More than a woman
More than enough for you (I'll be)
More than a lover
More than a woman
Even more under covers (I'll be)
I'll be more than a lover
More than a woman
More than enough for you (I'll be)

[Verse 2]
Midnight grindin'
My heart rate's climbin'
You go, I go
Cause we share pillows
Chase me, leave me
There's still no separating
Morning massages
With new bones in your closet

[Hook]
I'll be more than a lover
More than a woman
More than your lover (I'll be)
I'll be more than a lover
More than a woman
More than enough for you (I'll be)
More than a lover
More than a woman
Even more under covers (I'll be)
I'll be more than a lover
More than a woman
More than enough for you (I'll be)

[Bridge]
I don't think you're ready
(I don't think you're ready for this thing)
For this thing
(I don't think you're ready for this thing)
You're not ready
(I don't think you're ready for this thing)
This thing, this thing
(I don't think you're ready for this thing)

[Verse 3]
Constant pleasure
No scale can measure
Secret Treasures
Keeps on getting better
Do you wanna roll with me?
We can go to foreign lands
Your hand in my hand
Do you wanna ride with me?
We can be like Bonnie & Clyde
Me by your side

[Hook]
I'll be more than a lover
More than a woman
More than your lover (I'll be)
I'll be more than a lover
More than a woman
More than enough for you (I'll be)
More than a lover
More than a woman
Even more under covers (I'll be)
I'll be more than a lover
More than a woman
More than enough for you (I'll be)"
2959,Hella Good,No Doubt,No Doubt,Hella Good No Doubt,"[Verse 1]
(Oh!) The waves keep on crashing on me for some reason
(Oh!) But your love keeps on coming like a thunderbolt
Well come here a little closer
'Cause I wanna see you, baby, real close up
(Get over here, get over here)

[Chorus 1]
You got me feelin' hella good so let’s just keep on dancin'
(Oh!) You hold me like you should so I’m gonna keep on dancin'
(Keep on dancin')

[Verse 2]
A performance deserving of standing ovations
(Oh!) And who would of thought it’d be the two of us?
(I didn't really think it could ever happen, haha)
So don’t wake me if I’m dreaming
'Cause I’m in the mood, come on and give it up
(Oh, oh, oh!)

[Chorus 2]
You got me feelin' hella good so let’s just keep on dancin'
(Oh!) You hold me like you should so I’m gonna keep on dancin'
(Keep on dancin')
You got me feelin' hella good so let’s just keep on dancin'
(Oh!) You hold me like you should so I’m gonna keep on dancin'
(Keep on dancin')

[Instrumental]
Ooh, yeah yeah!
Ooh, yeah yeah!
(Oh!)
(I might've thought that but I've been trapped by what happened) [?]

[Chorus 3]
You got me feelin' hella good so let’s just keep on dancin'
(Oh!) You hold me like you should so I’m gonna keep on dancin'
(Keep on dancin')
You got me feelin' hella good so let’s just keep on dancin'
(Oh!) You hold me like you should so I’m gonna keep on dancin'
(Keep on dancin')

[Outro]
(Oh!)
(Uh, uh, uh)
(Uh, uh, uh)
(Oh!)
(Uh, uh, uh)
(Oh!)
(Keep on dancin')
(Oh!)
(Oh!)
(Keep on dancin')"
2960,I Love You,Faith Evans,Faith Evans,I Love You Faith Evans,"[Verse 1]
My heart belongs to you
So what could I do
To make you feel I'm down with
You see me hangin' around
But you don't know how you make me feel for you, and

[Bridge]
(Each and every day) I try to make some sense of this
(What you mean to me) I know it could be serious
(Each and every night) I dream about just holding you
(Loving you like this) what is a girl supposed to do

[Hook]
I love you
I want you
You're the one that I live for
And I can't take it any more
I love you
I need you
What can I do to make you see
You're the only one for me

[Verse 2]
First time I saw your face
My heart just erased
All the guys I knew
Before you walked into my life
I was the type to never work for nothing

[Bridge]
(Each and every day) I try to make some sense of this
(What you mean to me) I know it could be serious
(Each and every night) I dream about just holding you
(Loving you like this) What is a girl supposed to do

[Hook]
I love you
I want you
You're the one that I live for
And I can't take it any more
I love you
I need you
What can I do to make you see
You're the only one for me

[Bridge 2]
I love you, I want you, I need you in my life
Can't you see what you mean to me?
Baby come hold me tight
I miss you, wanna kiss you
Everytime I see your face
Baby I'll be waiting for you
Each and everyday

[Hook]
I love you (Oooohhh Ooooohh Ooooohh)
I want you
You're the one that I live for
And I can't take it any more
I love you
I need you
What can I do to make you see
You're the only one for me

[Bridge 3]
You're the only one for me
And I know it's meant to be
What can I do to make you see
My love will carry on (listen to my heart)
So listen to my heart and know
You'll find out where my love will go
The future lies between us both
Oh babe I love you so

[Hook (x2)]
I love you
I want you
You're the one that I live for
And I can't take it any more
I love you
I need you
What can I do to make you see
You're the only one for me"
